italian,english
e,is
non,not
che,that
di,of
la,there
il,the
un,a
a,to
per,for
è,is
in,in
una,a
mi,me
sono,I'm
ho,I have
l',L'
si,Yes
ha,has
ma,but
lo,the
cosa,thing
con,with
no,no
le,the
ti,you
se,self
da,from
i,the
come,as
io,I
ci,us
hai,you have
questo,this
bene,well
qui,here
sei,six
del,of the
tu,you
solo,only
mio,my
al,to the
me,myself
tutto,all
c',c '
te,you
era,era
della,of the
mia,my
fatto,done
fare,to do
essere,to be
so,I know
quando,when
sì,Yup
ora,Now
lei,she
gli,the
ne,neither
oh,Oh
questa,this
detto,say
ok,ok
va,it goes
perche,why
quello,one
mai,never
alla,a
o,or
anche,also
stato,state
abbiamo,we have
tutti,all
dei,of
grazie,thank you
chi,who
sta,It is
molto,very
più,more
voglio,I want
perché,Why
tuo,your
beh,Well
sia,be
nel,in
lui,he
allora,then
posso,I can
piu,more
ehi,Hey
prima,before
tua,your
suo,his
niente,anything
qualcosa,something
sai,you know
siamo,we are
un',a
cosi,so
davvero,really
ancora,yet
hanno,have
stai,are you
fa,does
sua,her
così,so
casa,home
uno,one
dove,where is it
su,up
vero,true
vuoi,do you want
noi,we
due,two
quindi,therefore
dire,to say
d',d '
delle,of the
quella,that
sempre,always
altro,other
sto,I'm
andare,to go
ad,to
po,little
loro,their
devo,I must
quel,that
forse,perhaps
li,there
proprio,own
certo,of course
tempo,time
nella,in
poi,then
vi,you
credo,I think
vita,life
cose,what's this
sul,on the
quanto,how much
puoi,you can
fuori,out
anni,years
cui,which
andiamo,here we go
dell',dell '
parte,part
visto,seen
qualcuno,someone
all',all '
lavoro,work
voi,you
ciao,Hi
dio,God
volta,time
dopo,after
adesso,now
stata,was
uomo,man
padre,father
devi,you have to
bisogno,need
gia,already
amico,friend
ed,and
posto,place
nessuno,nobody
via,Street
cos',cos'
fai,do
signore,lord
meglio,better
cazzo,dick
dai,come on
dal,from
vuole,wants
sembra,it seems
giorno,day
ogni,every
modo,way
senza,without
vedere,to see
dobbiamo,we have to
signor,Mr
qualche,some
dispiace,sorry
penso,I think
ecco,here
parlare,speak
tra,between
mamma,mom
già,already
sarebbe,would be
dalla,from
troppo,too much
fosse,it were
possiamo,We can
ce,there is
nuovo,new
male,bad
madre,mother
avete,you have
tanto,much
favore,favor
successo,success
vai,Go
sulla,on
giusto,quite right
sa,know
miei,my
aspetta,wait up
avere,to have
altra,other
farlo,to do it
alle,to
facendo,doing
abbia,has
momento,moment
ero,I was
aveva,had
ragazzi,boys
deve,needs to
persone,people
nostro,our
tipo,guy
prego,You are welcome
grande,great
può,can he
senti,feeling
appena,as soon as
potrebbe,could
soldi,money
dice,He says
sapere,know
tre,three
oggi,today
questi,these
piace,like it
idea,idea
siete,you are
ai,to
avevo,I had
figlio,son
accordo,agreement
gente,people
sicuro,sure
vieni,Come
degli,from
guarda,look
dentro,inside
trovato,found it
queste,these
caso,case
forza,power
dov',Where '
tutte,all
pensi,think
signora,Mrs
faccio,I do
nome,first name
avuto,had
problema,problem
altri,others
puo,can he
aver,having
mondo,world
tutta,all
preso,taken
nulla,nothing
nostra,our
donna,woman
stare,to stay
basta,that's enough
insieme,together
faccia,face
ragazza,girl
subito,immediately
famiglia,family
ragazzo,boy
volevo,I wanted
okay,okay
sentito,heard
ah,ha
stesso,same
ragione,reason
sarà,Sara
tuoi,your
capito,I got it
notte,night
volte,times
testa,head
serve,need
tesoro,treasure
sotto,under
eh,huh
suoi,its
vado,I go
sara,Sara
dato,given
stiamo,we are
bella,beautiful
scusa,sorry
erano,were
pensavo,I thought
avrei,I would have
prendere,to take
buona,good
porta,door
bello,beautiful
moglie,wife
vorrei,I would like to
storia,history
succede,It happens
morto,dead
cercando,looking for
dici,you say
persona,person
pronto,ready
meno,less
dovuto,due
avanti,forward
capisco,I understand
secondo,second
venire,to come
polizia,police
lì,there
avrebbe,it would have
stanno,they are
mentre,while
letto,bed
fino,till
dico,I say
amici,friends
fine,end
aiuto,Help
paura,fear
fratello,brother
stavo,I was
uomini,men
nell',in '
domani,tomorrow
facciamo,let's make
abbastanza,enough
capo,head
amore,love
nei,in
ucciso,killed
state,been
piano,plan
macchina,machine
trovare,to find
comunque,in any case
vediamo,we see
giorni,days
nemmeno,not even
mano,but no
dall',dall '
presto,soon
stati,States
merda,shit
far,to
bambino,child
andato,went
vedo,I see
tornare,return
quelle,those
cio,what
primo,first
vostro,your
neanche,neither
sera,evening
giro,round
morte,death
e',is'
qua,here
pensato,thought
buon,good
anno,year
mie,my
diavolo,Devil
quasi,almost
piacere,pleasure
bel,beautiful
dovrei,I should
nessun,no
contro,versus
stessa,itself
felice,happy
colpa,fault
punto,point
andata,going
dovrebbe,it should
vedi,you see
quale,which
chiesto,asked
invece,instead
perchè,why
migliore,best
nostri,our
finito,finished
figlia,daughter
dovresti,you should
papa,Pope
almeno,at least
sento,I hear
quei,those
col,with the
ore,hours
passato,past
magari,maybe
minuti,minutes
terra,land
vostra,your
strada,Street
sola,one
credi,believe
importante,important
sue,its
salve,Hello
settimana,week
perso,lost
uscire,go out
parlato,spoken
papà,Pope
stasera,tonight
scusi,sorry
dollari,dollars
occhi,eyes
mani,hands
ultima,latest
possibile,possible
scuola,school
significa,it means
sapevo,I knew
nelle,in
potrei,I could
stava,he was
bambini,children
eri,you was
importa,it matters
indietro,back
riesco,I can
sangue,blood
chiama,who loves
messo,put
piccolo,small
traduzione,translation
tardi,late
cuore,heart
marito,husband
viene,it is
venuto,came
ieri,yesterday
spero,hope
ricordi,memories
quelli,those
dovremmo,we should
lasciato,left
ascolta,listen
difficile,hard
quell',that'
auto,car
chiamato,called
ciò,it
altre,other
parlando,speaking
pensare,to think
fantastico,fantastic
fatta,done
numero,number
veramente,really
fanno,do
com',com '
serio,serious
possa,can
fossi,I
entrare,to come in
anch',too '
qualsiasi,any
pensa,thinks
dicendo,saying
acqua,water
portato,brought
stanza,room
problemi,problems
forte,strong
nessuna,none
lascia,leaves
amo,I love
roba,stuff
agente,agent
dietro,behind
corpo,body
pare,apparently
sentire,feel
foto,photo
telefono,phone
voleva,she wanted
poco,little
prendi,take
piccola,small
vicino,close
quest',quest '
sacco,bag
stia,is
capire,to understand
potuto,could
cinque,five
strano,strange
tue,your
andando,going
donne,women
sappiamo,we know
bravo,good boy
ragazze,girls
festa,party
senso,sense
genere,kind
quattro,four
dare,give
attimo,moment
sorella,sister
pure,mashed potato
probabilmente,probably
film,movie
parla,speaks
ufficio,office
verso,to
mesi,months
farti,you
unica,only
morire,to die
signorina,young lady
vecchio,old
domanda,demand
ben,well
guerra,war
dottore,doctor
conosco,I know
qual,what
vivere,to live
vista,view
prova,test
nuova,new
ricordo,I remember
divertente,funny
avessi,I had
sicura,safety
paio,pair
conto,bill
perdere,to lose
dimmi,tell me
farmi,me
figli,sons
mezzo,half
lavorare,to work
unico,single
esattamente,exactly
squadra,team
esatto,exact
possono,can
fate,you do
faro,lighthouse
sapete,you know
dottor,Dr.
parola,word
piedi,feet
sopra,above
motivo,reason
avevi,you had
cavolo,cabbage
capitano,captain
finita,over
volete,want
siano,are
potresti,could
gioco,game
perfetto,perfect
be,well
mente,mind
mangiare,to eat
resto,rest
credere,to believe
fortuna,luck
tratta,is
chiamo,call
morta,dead
là,there
entrambi,both of them
avresti,you would have
passare,to pass
cena,dinner
the,the
sarei,I would be
controllo,control
affari,business
spiace,sorry
ultimo,last
facile,easy
farò,lighthouse
buongiorno,good morning
davanti,in front of
tizio,someone
dammi,give me
sicurezza,safety
dalle,give her
quanti,How many
dica,tell
matrimonio,marriage
john,john
vogliono,they want
molti,lot of
culo,ass
fuoco,fire
cercare,search for
pistola,gun
potremmo,we could
re,king
mandato,mandate
puttana,bitch
negli,in
cioe,ie
inizio,Start
saranno,they will be
causa,cause
voglia,wish
mettere,to put
fammi,let me
uccidere,kill
vogliamo,we want
faremo,we will
però,However
genitori,parents
sesso,sex
potete,you can
ricevuto,received
vivo,I live
presidente,president
città,city
citta,city
succedendo,happening
ospedale,Hospital
fu,it was
agli,to
scritto,written
smettila,stop that
vada,go
attenzione,attention
sulle,on
bere,drinking
situazione,situation
omicidio,murder
revisione,revision
avesse,had
ottimo,great
cura,care
durante,during
provato,tried
parole,words
lasciare,to leave
dicono,they say
new,new
prossima,next
nostre,our
arrivato,arrived
paese,country
sull',on '
andate,go
chiunque,anyone
capisci,Do you understand
pace,peace
immagino,I imagine
musica,music
tieni,keep
oddio,oh God
jack,jack
libro,book
eravamo,we were
amica,friend
diventare,become
sui,on
sbagliato,mistaken
dirmi,tell me
wow,wow
farai,do
entra,come in
venuta,coming
scelta,choice
voluto,would
portare,bring
assolutamente,absolutely
molte,many
chiedo,I ask
torna,returns
scoperto,discovered
fatti,facts
settimane,weeks
dirlo,tell
alcuni,some
prigione,prison
giornata,day
piuttosto,Rather
buono,good
aspettare,wait
parli,you speak
arrivare,arrive
lungo,long
vede,sees
avvocato,lawyer
deciso,decided
sarai,you will be
messaggio,message
dormire,to sleep
dieci,ten
stupido,stupid
usare,use
dello,of the
cielo,sky
guardare,to watch
bagno,bathroom
aria,air
voce,voice
tornato,got back
vuol,wants
giù,down
conosci,know
benissimo,very well
prendo,I take
verita,truth
cane,dog
restare,to remain
chiamare,to call
poter,can
campo,field
luce,light
sam,sam
qualunque,whatever
giovane,young
signori,gentlemen
fra,between
provare,try out
minuto,minute
saperlo,know
lontano,far
gruppo,group
continua,go on
arrivo,arrival
gran,great
realta,reality
cerca,search for
passo,step
domande,questions
insomma,in conclusion
bambina,child
pensando,thinking
capelli,hair
trova,find
onore,honor
aiutare,to help
verità,truth
prove,evidence
n',No '
funziona,it works
alto,high
giu,down
credevo,I thought
futuro,future
preoccuparti,worry
idiota,idiot
cibo,food
fretta,hurry
cara,Dear
finalmente,finally
morti,dead
odio,hate
solito,usual
brava,good
é,is
incidente,accident
allo,the
dev',dev '
intenzione,intention
speciale,special
cambiare,to change
vera,real
camera,room
oltre,over
semplice,simple
dirti,tell you
riguardo,about
finche,as long as
aspetto,appearance
viaggio,travel
chiaro,clear
chiamata,call
bocca,mouth
permesso,permit
piacerebbe,would like to
dovete,you have to
giocare,play
ordine,order
circa,about
ovviamente,obviously
finire,to finish
piu',more'
natale,Christmas
i',the'
direi,I'd say
vostri,your
occhio,eye
pronta,ready
scusami,I'm sorry
mattina,morning
cercato,looked for
crede,you think
sistema,system
york,york
fondo,background
resta,remains
devono,must
prossimo,next one
pronti,ready
saputo,known
scusate,sorry
potere,power
milioni,millions
soltanto,only
armi,weapons
arriva,arrives
fermo,stationary
mese,month
chiedere,to ask
cristo,Christ
torno,I return
venite,you come
controllare,to check
appuntamento,appointment
s,s
chiami,who do you Love
vecchia,old
detective,detective
pero,However
metti,put
grado,degree
vanno,they go
nave,ship
iniziato,started
perche',why'
informazioni,information
libero,free
stronzo,asshole
grandi,great
pezzo,piece
segreto,secret
colpo,blow
faceva,it was
piacciono,like
porto,port
oppure,or
completamente,completely
vederti,see you
lista,list
venga,come
veloce,fast
assassino,murderess
sapeva,He knew
finché,as long as
tom,tom
ormai,by now
interessa,interest
generale,general
giusta,right
tenere,to keep
pazzo,crazy
vittima,victim
giuro,I swear
consiglio,Advice
michael,michael
alcune,some
semplicemente,simply
zio,uncle
centro,center
specie,species
mille,one thousand
sogno,dream
lasci,leave
carino,cute
doveva,where you go
brutto,ugly
nello,in
aspetti,wait
incredibile,unbelievable
sole,Sun
glielo,him
legge,law
spesso,often
guardate,watch
cambiato,changed
scena,scene
volevi,you wanted
charlie,charlie
lasciami,leave me
gentile,kind
rispetto,respect
ve,you
fara,will make
zitto,Shut up
incontro,meeting
farà,will make
servono,serve
rapporto,report
errore,error
mike,mike
sanno,know
pagare,to pay
sorpresa,surprise
occhiata,look
risposta,answer
presa,Jack
servizio,service
medico,doctor
usato,used
hey,hey
caro,Dear
schifo,disgust
avrai,you will have
dolore,ache
saresti,would you be
personale,staff
quali,Which
saro,I will be
peggio,worse
addio,goodbye
addosso,on
dovevo,I had to
poteva,he could
pieno,full
diverso,different
vestiti,clothes
sparato,shot
realtà,reality
do,do
sarò,I will be
normale,normal
fame,hunger
programma,program
nonna,grandmother
sappia,know
sembrava,It seemed
migliori,best
notizie,news
avevamo,we had
riesci,are able
posizione,position
vengo,I come
rimanere,stay
compagnia,company
proposito,purpose
farci,make us
joe,joe
ricorda,remember
frank,frank
prende,he takes
tante,many
avevano,they had
arrivando,coming
chiuso,Closed
terribile,terrible
ritardo,delay
attento,careful
bar,Cafe
sembri,you look
fallo,just do it
dimenticato,Forgot
bisogna,need
impossibile,impossible
cioè,that is
studio,study
stessi,themselves
arma,weapon
conosce,know
uscita,Exit
ii,ii
fin,from
disse,She said
david,david
vattene,get out
quante,how much it is
guai,trouble
intorno,around
video,video
manca,it lacks
esserci,occur
grosso,big
tanti,many
dolce,sweet
chiave,key
cervello,brain
coraggio,courage
interessante,Interesting